,State/Union Territory,Geographical Area,Actual Forest Cover-09,Actual Forest Cover-11,Actual Forest Cover-13,Actual Forest Cover-15,VDF-09,VDF-11,VDF-13,VDF-15,MDF-09,MDF-11,MDF-13,MDF-15,OF-09,OF-11,OF-13,OF-15,Mangrove-09,Mangrove-11,Mangrove-13,Mangrove-15,Scrub-09,Scrub-11,Scrub-13,Scrub-15,Non-Forest-09,Non-Forest-11,Non-Forest-13,Non-Forest-15
24, Tamil Nadu,130058,23551,23625,23844.0,26345.0,2926,2948.0,2948.0,2993.0,10343,10321.0,10199.0,10469.0,10282,10356.0,10697.0,12883.0,39,39,39.0,47,1206,1160,1212.0,414.0,105301,105273.0,105002.0,103299.0
25,Telangana,114865,,,21759.0,21591.0,,,,513.0,,,,12712.0,,,,8366.0,,,,,,,,1874.0,,,,91400.0
26, Tripura,10486,7985,7977,7866.0,7811.0,109,109.0,109.0,113.0,4702,4686.0,4641.0,4609.0,3174,3182.0,3116.0,3089.0,        ,        ,0.0,,75,72,66.0,55.0,2426,2437.0,2554.0,2620.0
27, Uttar Pradesh,240928,14341,14338,14349.0,14461.0,1626,1626.0,1623.0,2195.0,4563,4559.0,4550.0,4060.0,8152,8153.0,8176.0,8206.0,        ,        ,0.0,,745,745,806.0,803.0,225842,225845.0,225773.0,225664.0
28, Uttarakhand,53483,24495,24496,24508.0,24240.0,4762,4762.0,4785.0,4754.0,14165,14167.0,14111.0,13602.0,5568,5567.0,5612.0,5884.0,        ,        ,0.0,,271,271,262.0,307.0,28717,28716.0,28713.0,28936.0
29, West Bengal,88752,12994,12995,16805.0,16828.0,2987,2984.0,2971.0,2948.0,4644,4646.0,4146.0,4172.0,5363,5365.0,9688.0,9708.0,2152,2155,2097.0,2106,29,29,111.0,133.0,75729,75728.0,71836.0,71791.0
30, A.& N. Islands,8249,6662,6724,6711.0,6751.0,3762,3761.0,3754.0,5686.0,2405,2416.0,2413.0,685.0,495,547.0,544.0,380.0,615,617,604.0,617,53,57,57.0,1.0,1534,1468.0,1481.0,1497.0
31, Chandigarh,114,17,17,17.0,22.03,1,1.0,1.0,1.36,10,10.0,10.0,14.09,6,6.0,6.0,6.58,,,0.0,,1,0.54,1.0,0.03,96,96.46,96.0,91.94
32, D.& N. Haveli,491,211,211,213.0,206.0,0,0.0,0.0,0.0,114,114.0,114.0,80.0,97,97.0,99.0,126.0,,,0.0,,1,1,1.0,5.0,279,279.0,277.0,280.0
33, Daman & Diu ,112,5.65,6,9.0,19.61,0,0.0,0.0,1.4,0.62,0.62,2.0,5.82,5.03,5.53,7.0,12.39,1,1.56,1.53,3,3,3.1,1.0,0.55,103.35,102.9,102.0,91.84
34, Lakshadweep,32,26.48,27,27.0,27.06,0,0.0,0.0,0.0,16.71,17.18,17.0,17.22,9.77,9.88,10.0,9.84,,,0.0,,,,0.0,0.0,5.52,5.0,5.0,4.940000000000001
35, Puducherry,480,49.97,50,50.0,55.38,0,0.0,0.0,0.0,34.1,35.37,35.0,29.68,15.87,14.69,15.0,25.7,1,1,1.0,2,,,0.0,0.0,430.03,430.0,430.0,424.62
36,Total,,645723.6799999999,645638,697898.0,701673.0800000001,83428.136,83471.0,83502.0,85903.7,320238.26999999996,320736.17,318745.0,315373.96,288727.65,287820.10000000003,295651.0,300395.19000000006,4639,4662.56,4627.53,4740,41525,42176.34,41383.0,41361.58,2485149.32,2484583.6599999997,2454876.0,2544228.34
