,Year,Forest_Cover(ha),Tree_Cover(30%)
0,2001,15702.0,62441.0
1,2002,11718.0,53035.0
2,2003,10846.0,47782.0
3,2004,19166.0,74217.0
4,2005,15148.0,74217.0
5,2006,15126.0,67494.0
6,2007,17208.0,73976.0
7,2008,20702.0,86045.0
8,2009,17112.0,79339.0
9,2010,11361.0,51384.0
10,2011,16287.0,88585.0
11,2012,18804.0,95181.0
12,2013,14399.0,80943.0
13,2014,21942.0,139241.0
14,2015,20997.0,116374.0
15,2016,30936.0,175478.0
16,2017,29563.0,189677.0
17,2018,19310.0,132429.0
